원문,개선이 필요한 부분,문장A,문장B,A=SENTENCIFY,A=B
그 문제에 대해서 서로 간의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 될 것으로 보여진다.,네 가지 문제가 있습니다. (1) '서로 간의'는 겹말입니다. (2) '해야 될'은 '해야 할'이 올바릅니다. (3) '보여진다'는 '보이다'의 이중 피동입니다. (4) 문장이 지나치게 길고 복잡합니다.,그 문제에 대해 서로의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 할 것으로 보인다.,그 문제에 대해 서로의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 할 것으로 보인다.,원래순서,같음
역전 앞에서 만나자.,'역전(驛前)'에 이미 '역 앞'이라는 뜻이 있으므로 '앞'과 중복됩니다.,역전 앞에서 만나자.,역 앞에서 만나자.,원래순서,다름
부정 선거를 막기 위하여 미리 대책이 마련되어져야 한다.,마련되다'가 이미 피동형인데 '-어지다'가 붙어 이중 피동이 되었습니다.,부정 선거를 막기 위한 대책이 미리 마련되어야 한다.,부정 선거를 막기 위해 미리 대책이 마련되어야 한다.,원래순서,다름
이번 행사에 참석하지 못하는 분들께서는 사전에 미리 담당자에게 연락을 주시기를 부탁드립니다.,세 가지 문제가 있습니다. (1) '사전에 미리'는 겹말입니다. (2) '분들께서는 ~부탁드립니다'는 주체(분들)와 화자의 행위(부탁)가 뒤섞여 주술 호응이 어긋났습니다. (3) '연락을 주시기를 부탁드립니다'는 이중 요청으로 어색합니다.,이번 행사에 참석하지 못하시는 분들께서는 사전에 담당자에게 연락해 주시기 바랍니다.,이번 행사에 참석하지 못하는 분들은 사전에 담당자에게 연락을 주시기 바랍니다.,원래순서,다름
그녀는 미소를 띄었다.,'띄다'가 아니라 '띠다'가 올바릅니다. '미소를 띠다'가 올바른 표현입니다.,그녀는 미소를 띄었다.,그녀는 미소를 띠었다.,원래순서,다름
눈코 뜰 사이 없이 바빴다.,'눈코 뜰 사이'가 아니라 '눈코 뜰 새'가 올바른 관용 표현입니다. '새'는 '틈'의 뜻입니다.,눈코 뜰 새 없이 바빴다.,눈코 뜰 새 없이 바빴다.,원래순서,같음
과학의 발달은 새로운 사실을 발견하고 지식을 쌓게 하였다.,발달은'이 주어인데 '발견하고'에 주어가 없어 구조가 어색합니다. 주어와 서술어의 관계를 명확히 해야 합니다.,과학의 발달은 새로운 사실의 발견과 지식의 축적으로 이어졌다.,과학의 발달은 새로운 사실을 발견하고 지식을 쌓게 했다.,원래순서,다름
그들은 어제 하루 동안 많은 운동과 업무를 처리했다.,운동'은 '처리하다'와 어울리지 않습니다. '운동을 하다'와 '업무를 처리하다'를 각각 써야 합니다.,그들은 어제 하루 동안 많은 운동을 하고 업무를 처리했다.,그들은 어제 하루 동안 많은 운동과 업무를 처리했다.,원래순서,다름
그의 행동은 눈쌀을 찌푸리게 했다.,'눈쌀'은 잘못된 표기입니다. '눈살'이 올바른 표현입니다.,그의 행동은 눈살을 찌푸리게 했다.,그의 행동은 눈쌀을 찌푸리게 했다.,원래순서,다름
그사람은 참 착하다.,'그'는 관형사이므로 뒤의 명사 '사람'과 띄어 써야 합니다.,그 사람은 참 착하다.,그 사람은 참 착하다.,원래순서,같음
날이 저물자 그는 어느 집 문전 앞에서 하룻잠을 청했다.,문전(門前)'이 이미 '문 앞'이라는 뜻이므로 '문전 앞'은 겹말입니다.,날이 저물자 그는 어느 집 문 앞에서 하룻밤을 청했다.,날이 저물자 그는 어느 집 문 앞을 찾아가 하룻밤 묵어가기를 청했다.,뒤바뀜,다름
조사한바 사실로 확인되었다.,"-ㄴ바'(붙여 쓰기)와 '-ㄴ 바'(띄어 쓰기)는 의미가 다릅니다. 앞말이 뒷말의 이유·근거일 때는 어미 '-ㄴ바'로 붙여 씁니다. '앞에서 말한 것'이라는 의존 명사 '바'이면 띄어 씁니다. 여기서는 '조사했더니'의 뜻이므로 어미 '-ㄴ바'로 붙여 써야 하지만, 실제 용법에서는 '조사한 바'로 띄어 쓰는 것이 관습입니다.",조사한 바 사실로 확인되었다.,조사한 바 사실로 확인되었다.,뒤바뀜,같음
학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 향상되게 만든다.,주술 호응이 어긋났습니다. '것은 ~만든다'가 아니라 '것은 ~한다' 또는 '것이 ~만든다'여야 합니다. 또한 '향상되게 만든다'는 '향상시킨다'로 간결하게 고칠 수 있습니다.,학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 높여 준다.,학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 향상시킨다.,뒤바뀜,다름
이 보고서의 목적은 최근 소비 트렌드를 분석하고 향후 전략을 수립하고자 작성되었다.,"주어 '목적은'에 호응하는 서술어가 '작성되었다'로 엇나갑니다. '목적은 ~분석하고 ~수립하는 것이다'로 끝나거나, 주어를 '이 보고서는'으로 바꿔야 합니다. 또한 '-고자'와 '작성되었다'의 연결도 어색합니다.",이 보고서는 최근 소비 트렌드를 분석하고 향후 전략을 수립하고자 작성되었다.,이 보고서는 최근 소비 트렌드를 분석하고 향후 전략을 수립하기 위해 작성되었다.,뒤바뀜,다름
비가 오음으로 우산을 가져가세요.,-므로'(이유·원인의 연결 어미)와 '-ㅁ으로'(명사형 어미+조사)를 혼동한 사례입니다. 이유를 나타낼 때는 '-므로'를 씁니다. '-ㅁ으로(써)'는 '노력함으로써 성공했다'처럼 수단의 의미일 때 씁니다.,비가 오니 우산을 가져가세요.,비가 올 것 같으니 우산을 가져가세요.,뒤바뀜,다름
"아버지께서는 나에게 공부를 열심히 하고, 독서를 권하셨다.",공부를 열심히 하고'의 서술어가 빠져 있어 '독서를 권하셨다'에만 연결됩니다. 병렬 구조가 불완전합니다.,"아버지께서는 나에게 공부를 열심히 하라고 하시고, 독서를 권하셨다.",아버지께서는 나에게 열심히 공부하고 독서할 것을 권하셨다.,뒤바뀜,다름
학생들은 여가 선용을 적극 활용하여 체력을 단련해야 한다.,여가 선용'의 '선용(善用)'이 이미 '잘 활용함'이라는 뜻이므로 '활용'과 겹칩니다.,학생들은 여가 시간을 적극 활용하여 체력을 단련해야 한다.,학생들은 여가 시간을 적극 활용하여 체력을 단련해야 한다.,뒤바뀜,같음
그 이유는 우리가 적을 너무 업수이 여김에서 비롯되었습니다.,이유는 ~비롯되었습니다'는 주술 호응이 안 됩니다. '이유는 ~때문입니다'가 올바릅니다.,그 이유는 우리가 적을 너무 업신여긴 데에서 비롯되었습니다.,그 이유는 우리가 적을 너무 얕보았기 때문입니다.,뒤바뀜,다름
"나는 방과 집안, 그리고 나아가서는 부엌 설거지까지도 도맡아 해야 했다.",방과 집안'에 대한 서술(청소)이 빠져 있어 '방 = 설거지'처럼 읽힙니다.,"나는 방 청소와 집안일, 나아가 부엌 설거지까지도 도맡아 해야 했다.","나는 방과 집안 청소는 물론, 부엌 설거지까지 도맡아 해야 했다.",뒤바뀜,다름
나는 바이올린계의 거장 파가니니에게 사사받았다.,사사(師事)'는 '스승으로 섬기다'라는 뜻의 타동사이므로 '사사받다'는 틀립니다. '사사하다'가 올바릅니다.,나는 바이올린 거장 파가니니에게 가르침을 받았다.,나는 바이올린계의 거장 파가니니를 스승으로 삼았다.,뒤바뀜,다름
그 소문은 입에서 입으로 회자되어졌다.,'회자되다'는 이미 피동의 의미를 포함합니다. '-어지다'를 붙이면 의미가 이중으로 겹칩니다.,그 소문은 입에서 입으로 회자되었다.,그 소문은 입에서 입으로 회자되었다.,원래순서,같음
인간은 자연을 지배하기도 하고 복종하기도 한다.,"지배하다'는 목적어 '자연을' 취하고, '복종하다'는 '자연에' 취합니다. 다른 조사를 요구하는 서술어를 병렬할 때는 조사를 반복해야 합니다.",인간은 자연을 지배하기도 하고 복종하기도 한다.,인간은 자연을 지배하기도 하고 자연에 복종하기도 한다.,원래순서,다름
나는 그 영화를 감명받았다.,'감명받다'는 자동사이므로 '을/를'이 아니라 '에/에게'를 써야 합니다.,나는 그 영화에 감명받았다.,나는 그 영화에 감명받았다.,원래순서,같음
정답을 맞추다.,"이 문장은 흔히 맞다고 생각하지만, 엄밀히 '정답'은 '맞히다'(적중시키다)가 올바릅니다. '맞추다'는 '서로 비교하다'(답을 맞추어 보다), '조립하다'(퍼즐을 맞추다), '조절하다'(초점을 맞추다)의 뜻입니다. 시험 문제의 답을 적중시키는 것은 '맞히다'입니다.",정답을 맞히다.,정답을 맞추다.,원래순서,다름
처음 초면에 그런 말을 하다니.,'초면(初面)'의 '초(初)'가 이미 '처음'이라는 뜻이므로 의미가 중복됩니다.,초면에 그런 말을 하다니.,처음 초면에 그런 말을 하다니.,원래순서,다름
그 사건은 파급효과를 미쳤다.,'파급효과를 미치다'는 잘못된 연어입니다. '영향을 미치다' 또는 '파급효과를 가져오다'가 올바른 조합입니다.,그 사건은 파급효과를 불러일으켰다.,그 사건은 파급효과를 미쳤다.,원래순서,다름
나는 소를 먹이러 가고 동생은 닭과 모이를 주려고 했습니다.,닭과 모이를'로 읽히면 '닭'과 '모이'를 나열한 것으로 오해됩니다. '닭에게 모이를'로 조사를 보충해야 합니다.,나는 소에게 먹이를 주러 가고 동생은 닭에게 모이를 주려고 했습니다.,"나는 소에게 먹이를 주러 갔고, 동생은 닭에게 모이를 주려고 했습니다.",원래순서,다름
그는 자기 자신을 되돌아 봤다.,'되돌아보다'는 한 단어(합성 동사)이므로 붙여 써야 합니다. '되돌아 봤다'처럼 띄어 쓰면 틀립니다.,그는 자신을 되돌아보았다.,그는 자신을 되돌아봤다.,원래순서,다름
컴퓨터 소프트웨어 개발 회사들은 불법 복제를 막기 위해 강력한 단속과 복제 방지 장치를 개발해 나가고 있다.,단속'과 '복제 방지 장치를 개발'이 대등하게 연결되지 않습니다. '단속을 벌이다'와 '장치를 개발하다'를 분리해야 합니다.,컴퓨터 소프트웨어 개발 회사들은 불법 복제를 막기 위해 강력한 단속 방안과 복제 방지 장치를 개발해 나가고 있다.,컴퓨터 소프트웨어 개발 회사들은 불법 복제를 막기 위해 강력한 단속을 실시하고 복제 방지 기술을 개발해 나가고 있다.,원래순서,다름
어제는 몸이 아프니까 학교를 결석했다.,-니까'는 주로 명령·청유문에 쓰이는 이유의 연결 어미입니다. 과거 사실의 이유를 나타낼 때는 '-아서/-어서'가 적절합니다.,어제는 몸이 아파서 학교에 결석했다.,어제는 몸이 아파서 학교를 결석했다.,원래순서,다름
강조할 점은 교육은 현재가 아니라 미래를 지향한다는 사실을 주지하는 일이다.,"강조할 점은 ~사실이다'로 끝내야 하는데, '주지하는 일이다'가 붙어 의미가 이중으로 겹칩니다.",강조할 점은 교육이 현재가 아니라 미래를 지향한다는 사실을 주지하는 일이다.,교육은 현재가 아니라 미래를 지향한다는 사실을 명심해야 한다.,뒤바뀜,다름
시원한 바람과 맑게 흐르는 시냇물을 바라보면서 우리는 한 걸음씩 설악 계곡을 밟아 나갔다.,시원한 바람'을 '바라보다'는 어색합니다. '바람을 쐬고/맞으며'와 '시냇물을 바라보며'를 분리해야 합니다.,시원한 바람을 맞고 맑게 흐르는 시냇물을 바라보며 우리는 설악 계곡을 한 걸음씩 걸어 나갔다.,시원한 바람과 맑게 흐르는 시냇물을 바라보면서 우리는 한 걸음씩 설악 계곡을 걸어 나갔다.,뒤바뀜,다름
쓰레기 분리 수거를 위한 주민들의 협조가 순조롭지 않고 있다.,순조롭지 않고 있다'는 어색한 표현입니다. '순조롭게 이루어지지 않고 있다'가 자연스럽습니다.,쓰레기 분리수거를 위한 주민들의 협조가 원활하지 않고 있다.,쓰레기 분리배출을 위한 주민들의 협조가 원활하게 이루어지지 않고 있다.,뒤바뀜,다름
요즘 살이 쪄서 다이어트를 해야 되요.,'-되요'는 잘못된 표기입니다. '하다'가 아니라 '되다'의 활용이므로 '돼요'(되어요의 준말)가 올바릅니다.,요즘 살이 쪄서 다이어트를 해야 합니다.,요즘 살이 쪄서 다이어트를 해야 돼요.,뒤바뀜,다름
등교 도중에 있었던 그와의 언쟁은 전혀 우리의 잘못입니다.,"전혀'는 부정적 서술어와 호응해야 하는데, '잘못입니다'는 긍정 서술어입니다. '전혀'를 빼거나 '전적으로'로 바꿔야 합니다.",등교 도중에 있었던 그와의 언쟁은 전적으로 우리의 잘못입니다.,등교 도중 그와의 언쟁은 전적으로 우리의 잘못입니다.,뒤바뀜,다름
이 서류를 본사에 붙여 주세요.,"붙이다'와 '부치다'의 혼동입니다. 우편물이나 서류를 보내는 것은 '부치다'입니다. '붙이다'는 '풀로 종이를 붙이다'처럼 물리적으로 접착할 때 씁니다. 편지를 부치다, 안건을 회의에 부치다, 원고를 인쇄에 부치다 등이 '부치다'입니다.",이 서류를 본사에 부쳐 주세요.,이 서류를 본사에 제출해 주세요.,원래순서,다름
전혀 가능하다.,'전혀'는 부정적 서술어와 호응해야 합니다.,전혀 가능하다.,전혀 가능하지 않다.,원래순서,다름
그가 범인이 아니라는 사실을 누구도 기억하지 않아야 했다.,"기억하지 않아야 했다'(부정+당위)가 아니라 '기억하지 말아야 했다'(금지+당위)가 올바릅니다. '-지 않다'는 단순 부정, '-지 말다'는 금지를 나타냅니다.",그가 범인이 아니라는 사실을 아무도 기억해서는 안 되었다.,그가 범인이 아니라는 사실을 누구도 기억해서는 안 됐다.,원래순서,다름
"내가 강조하는 것은 언어는 민족 문화의 근간이요, 민족 정신의 핵심이며, 민족 사회의 보물이다.",것은'에 호응하는 서술어가 '~보물이다'로 끝나면서 '언어는'이 떠돌게 됩니다. '것은 ~언어라는 것이다'로 마무리해야 합니다.,내가 강조하고자 하는 것은 언어가 민족 문화의 근간이자 민족 정신의 핵심이며 민족 사회의 보물이라는 점이다.,"내가 강조하는 것은 언어가 민족 문화의 근간이요, 민족 정신의 핵심이며, 민족 사회의 보물이라는 것이다.",원래순서,다름
별로 좋다.,'별로'는 부정적 서술어와 호응해야 합니다.,별로 좋다.,별로 좋지 않다.,원래순서,다름
"형은 정구를 좋아했고, 누나의 취미는 탁구였다.","앞절은 '형은 ~좋아했다'(주어+서술어)인데, 뒷절은 '누나의 취미는 ~탁구였다'(주어+서술어)로 대등하지 않은 구조입니다.","형은 정구를 좋아했고, 누나는 탁구를 취미로 삼았다.","형은 정구를 좋아했고, 누나는 탁구를 즐겼다.",뒤바뀜,다름
나는 꾸준히 젊은 사람 못지않은 봉사 활동에 매진하였다.,"꾸준히'의 수식 대상이 모호하고, '젊은 사람 못지않은'의 위치가 어색합니다. 부사와 수식절의 위치를 재배치해야 합니다.",나는 젊은이들 못지않게 꾸준히 봉사 활동에 매진해 왔다.,나는 꾸준히 젊은 사람 못지않게 봉사 활동에 매진하였다.,뒤바뀜,다름
결코 성공한다.,'결코'는 부정적 서술어와 호응해야 합니다.,결코 성공하지 못한다.,결코 성공하지 못한다.,뒤바뀜,같음
대학은 모든 시대와 나라에서 형성된 가장 심오한 진리 탐구와 치밀한 과학적 정신을 형성 배양하는 곳이다.,진리 탐구'와 '과학적 정신을 형성 배양하는'이 병렬되면서 '진리'에 대한 서술어가 빠져 있습니다.,대학은 모든 시대와 나라에서 형성된 가장 심오한 진리를 탐구하고 치밀한 과학적 정신을 배양하는 곳이다.,대학은 모든 시대와 나라에서 가장 심오한 진리 탐구와 치밀한 과학적 정신을 형성하고 배양하는 곳이다.,뒤바뀜,다름
다름이 아니오라 부탁이 있습니다.,'아니오라'는 잘못된 활용입니다. '아니라'가 올바릅니다. '-오-'는 현대 한국어에서 쓰이지 않습니다.,다름이 아니라 부탁이 있습니다.,다름이 아니라 부탁이 있습니다.,뒤바뀜,같음
일부로 그런 건 아니야.,'일부로'(일부분으로)와 '일부러'(고의로)를 혼동한 것입니다. '고의로'의 뜻이면 '일부러'가 맞습니다.,일부러 그런 건 아니야.,일부로 그런 건 아니야.,원래순서,다름
속이 매스껍다.,'매스껍다'는 잘못된 표기입니다. '메스껍다'가 올바릅니다.,속이 메스껍다.,속이 메스껍다.,원래순서,같음
하나의 현상에 대한 올바른 이해를 위해서는 그 현상이 속한 전체 속에서 파악될 때 가능하다.,이해를 위해서는 ~가능하다'는 주술 호응이 맞지 않습니다. '이해는 ~가능하다'로 주어를 바꿔야 합니다.,하나의 현상을 올바르게 이해하려면 그 현상이 속한 전체 맥락 속에서 파악해야 한다.,하나의 현상을 올바르게 이해하려면 그 현상이 속한 전체적인 맥락 속에서 파악해야 한다.,원래순서,다름
최근 들어 청소년들의 스마트폰 중독 문제가 심각해지고 있는 가운데 이에 대한 대책 마련이 시급하다는 목소리가 높아지고 있는 실정이다.,"'~있는 가운데 ~높아지고 있는 실정이다'로 '-고 있다'가 반복되고, '실정이다'가 불필요하게 붙어 문장이 장황합니다. 또한 접속 없이 긴 절이 이어져 가독성이 떨어집니다.",최근 청소년들의 스마트폰 중독 문제가 심각해지면서 이에 대한 대책 마련이 시급하다는 목소리가 높아지고 있다.,최근 청소년들의 스마트폰 중독 문제가 심각해지고 있어 이에 대한 대책 마련이 시급하다는 목소리가 높아지고 있다.,원래순서,다름
"단편 소설은 길이가 짧은 대신, 장편 소설이 제공할 수 없는 강한 인상이다.",인상이다'로 끝나면 '단편 소설 = 강한 인상'이 되어 비문입니다. '인상을 준다'처럼 서술어를 보충해야 합니다.,"단편 소설은 길이가 짧은 대신, 장편 소설이 제공할 수 없는 강한 인상을 준다.","단편 소설은 길이가 짧은 대신, 장편 소설이 제공할 수 없는 강렬한 인상을 남긴다.",원래순서,다름
한 가지 다행스러운 점은 대학 시험이 나에게 기쁨을 줄 것이라는 확신이 섰다.,점은'에 호응하는 서술어는 '~것이다/~점이다'여야 하는데 '섰다'로 끝납니다.,한 가지 다행스러운 점은 대학 시험이 나에게 기쁨을 줄 것이라는 확신이 섰다는 것이다.,한 가지 다행스러운 점은 대학 시험이 나에게 기쁨을 줄 것이라는 확신이 섰다는 것이다.,원래순서,같음
나는 우리나라가 남의 것을 모방하는 나라가 되지 말고 새로운 문화의 근원이 되는 나라를 원한다.,되지 말고'(청유/금지)와 '원한다'(서술)의 구조가 어긋납니다. '되지 않고 ~되기를 원한다'로 통일해야 합니다.,나는 우리나라가 남의 것을 모방하는 나라가 아니라 새로운 문화의 근원이 되는 나라가 되기를 원한다.,"나는 우리나라가 남의 것을 단순히 모방하는 나라가 아니라, 새로운 문화의 근원이 되는 나라가 되기를 바란다.",원래순서,다름
"여러 가지 악기의 독특한 소리들이 조화를 이루며 모아질 때, 훌륭한 연주가 가능하다.",모이다'가 이미 피동형인데 '-아지다'가 붙어 '모아지다'가 되었습니다. '모일 때'가 올바릅니다.,"여러 악기의 독특한 소리들이 조화를 이루어 모일 때, 훌륭한 연주가 가능하다.","여러 악기의 독특한 소리들이 조화를 이루어 모일 때, 훌륭한 연주가 가능하다.",원래순서,같음
그 사고의 원인은 운전자가 졸음운전을 하여 발생하였다.,"'원인은'의 서술어가 '발생하였다'로 되어 있어 주술 호응이 맞지 않습니다. '원인은 ~졸음운전이다'로 끝나거나, 주어를 '그 사고는'으로 바꿔야 합니다.",그 사고의 원인은 운전자가 졸음운전을 했기 때문에 발생했다.,그 사고의 원인은 운전자의 졸음운전이었다.,원래순서,다름
그는 평소의 신념으로 보아 결코 성공할 수 있을 것이다.,"결코'는 부정적 서술어와 호응해야 하는데, '성공할 수 있을 것이다'는 긍정문입니다.",그는 평소의 신념으로 보아 반드시 성공할 것이다.,그는 평소의 신념으로 보아 결코 성공할 수 없을 것이다.,원래순서,다름
